experiment_id,display_name,evidence_class,body_assignment,fprop,dgrad,wgrad,gemm_weight_encoding,gradient_rounding,hadamard_contract,bf16_body_islands,output_head,loss_path,model_seed,sr_seed,hardware,world_size,local_batch,gradient_accumulation,step_contract,scientific_status
bf16-historical-long,BF16 historical long run,long_training,BF16 blocks 1-32,BF16,BF16,BF16,BF16 parameter/master,n/a,none,all body linears,ordinary BF16,historical regular-CE lineage,42 (analysis-aligned; execution seed not recovered),n/a,B200,32,not recovered,not recovered,0-38147; metrics through 38140,complete comparator; displayed seed-42 curve uses measured short-control offset
te-native-historical-long,TE-native NVFP4 historical long run,long_training,global NVFP4 blocks 1-32,global NVFP4,global NVFP4,global NVFP4 plus paired signed H16,TE orientation-consistent 2D16,TE gradient SR,TE-managed paired signed H16 on Wgrad operands; sign lifetime unrecovered,none,ordinary BF16,historical regular-CE lineage,42 (analysis-aligned; execution seed not recovered),TE-managed,B200,32,not recovered,not recovered,0-38147; metrics through 38140,complete comparator; displayed seed-42 curve uses measured short-control offset
pure-v5-fused-v1-long,Global NVFP4 v5 long run,long_training,global v5 blocks 1-32,global NVFP4 v5,global NVFP4 v5,global NVFP4 v5,custom orientation-consistent 2D16 from one producer,row gradient-data SR,none,none,ordinary BF16,loss-only Inductor regular CE,42,checkpointed ranked route state,B200,32,4,4,0-38147; metrics through 38140,scientifically complete
mxfp4-v4-row-sr-fused-v1-long,MXFP4-v4 row-SR long run,long_training,MXFP4-v4 blocks 1-32,MXFP4,MXFP4,MXFP4,custom orientation-consistent 2D32,row gradient-data SR,none,none,ordinary BF16,loss-only Inductor regular CE,42,1234,B300,32,4,4,0-38147; metrics through 38140,complete
localcta-v4-row-sr-fused-v1-long,Repaired localCTA-v4 long run,long_training,localCTA-v4 blocks 1-32,localCTA NVFP4,localCTA NVFP4,localCTA NVFP4,custom orientation-consistent 2D16 with retained FP32 outer scales,row gradient-data SR,none,none,ordinary BF16,loss-only Inductor regular CE,42,0,B300,32,8,2,0-38147; metrics through 38140,complete
localcta-v4-row-sr-h16-rht-long,localCTA-v4 row-SR plus fixed-sign H16 long run,long_training,localCTA-v4 blocks 1-32,localCTA NVFP4 untransformed,localCTA NVFP4 untransformed,localCTA NVFP4 with paired fixed-sign H16 column transform on X and dY,custom orientation-consistent 2D16 with retained FP32 outer scales; stored weight untransformed,row gradient-data SR,literal fixed 0x00002817; low 16 bits consumed once for paired H16 on Wgrad X and dY only,none,ordinary BF16,loss-only Inductor regular CE,42,0; subsequence 0; 128 logical producers,B200,64,4,2,fresh r10 through step 9000; exact full-state r12 continuation through step 38147; metrics through 38140,scientifically complete trajectory; worse terminal training loss than SR-only localCTA; corrected downstream panel complete; not a one-factor Hadamard ablation
localcta-mxfp4-hybrid-27-5-fused-v1-long,Historical localCTA/MXFP4 27/5 hybrid long run,long_training,localCTA-v4 blocks 1-27; MXFP4-v4 blocks 28-32,format assigned by block,format assigned by block,format assigned by block,localCTA 2D16 or MXFP4 2D32 by block,row gradient-data SR in both namespaces,none,none,ordinary BF16,loss-only Inductor regular CE,42,localCTA 0; MXFP4 1099511627776; subsequence 0,B300 to GB200,32,8 to 4,2 to 4,0-38147 across continuation,complete curve; corrected scaled-RoPE downstream panel complete
mxfp4-v4-row-sr-h32-rht-long,MXFP4-v4 row-SR plus fixed-sign H32 long run,long_training,MXFP4-v4 blocks 1-32,MXFP4 untransformed,MXFP4 untransformed,MXFP4 with paired fixed-sign H32 column transform on X and dY,custom orientation-consistent 2D32; stored weight untransformed,row gradient-data SR,sealed fixed 0x00002817 low-16 motif repeated across both H32 thread halves; paired on Wgrad X and dY only; historical random-sign flag overridden by fixed patch,none,ordinary BF16,loss-only Inductor regular CE,42,1234,GB200,64,4,2,0-38147; metrics through 38140,complete; not a one-factor Hadamard ablation versus historical MXFP4
te-f0l4-long-attempt,TE NVFP4 with final four BF16 blocks,long_training_attempt,TE NVFP4 blocks 1-28; BF16 blocks 29-32,assigned by block,assigned by block,assigned by block,TE 2D16 in NVFP4 blocks; BF16 in final four,TE gradient SR in NVFP4 blocks,TE-managed paired signed H16 on NVFP4 Wgrad operands; sign lifetime unrecovered,blocks 29-32,ordinary BF16,loss-only Inductor regular CE,42,TE-managed,B200,32,2,8,continuous observed splice through step 29090; complete checkpoints through step 29000,partial training curve and checkpoint evidence; no 160B endpoint
v5-mxfp4-hybrid-27-5-invalid,Global-v5/MXFP4 27/5 hybrid,invalid_long_training,global v5 blocks 1-27; MXFP4-v4 blocks 28-32,format assigned by block,format assigned by block,format assigned by block,v5 2D16 or MXFP4 2D32 by block,row gradient-data SR,none,none,ordinary BF16,loss-only Inductor regular CE,42,route-specific; exact SR seeds not recovered in report mirror,GB200,32,4,4,trajectory reached terminal horizon but diverged,numerically invalid and not resumable
