route,world_size,local_batch,gradient_accumulation,global_batch,probe_seed,activation_checkpoint,parallel_topology,reshard_policy,body_format,gradient_rounding,hadamard_preconditioning,output_head,ce_path,window,tokens_per_second_per_gpu,bf16_mfu_percent_2500_tflops_peak,mfu_percent_source_aggregate,median_memory_gib,comparison_group,status
BF16,32,2,8,512,42,selective-8,FSDP-32,default,BF16,not applicable,not applicable,ordinary BF16 linear,loss-only compiled CE,median steps 40-100,18812.0,43.579465275802,48.42,101.19,compiled_lb2ga8,complete
TE-native NVFP4 full body,32,2,8,512,42,selective-32,HSDP-4x8,never,TE NVFP4,TE-default,TE-default,ordinary BF16 linear,loss-only compiled CE,median steps 40-100,27622.0,63.988517427610,71.10,125.80,compiled_lb2ga8,complete
TE NVFP4 F0L4,32,2,8,512,42,selective-32,HSDP-4x8,never,TE NVFP4 with final four transformer blocks in BF16,TE-default,TE-default,ordinary BF16 linear,loss-only compiled CE,median steps 40-100,27077.5,62.727140708352,69.70,126.03,compiled_lb2ga8,complete
MXFP4-v4 + row-SR,32,4,4,512,42,selective-32,FSDP-32,default,MXFP4,row-oriented G data SR only; column G deterministic,off,ordinary BF16 linear,loss-only compiled CE,median steps 40-100,37876.75,87.744445640294,97.495,154.425,matched_custom_compiled_lb4ga4,complete
localCTA-v4 + row-SR,32,4,4,512,42,selective-32,FSDP-32,default,CTA-local NVFP4,row-oriented G data SR only; column G deterministic,off,ordinary BF16 linear,loss-only compiled CE,median steps 40-100,33243.757890411216,77.011758059873,85.57094397363713,115.51499999999999,currentpin_asyncmetrics_lb4ga4,complete
localCTA-v4 + row-SR + fixed H16,32,4,4,512,42,selective-32,FSDP-32,default,CTA-local NVFP4,row-oriented G data SR only; column G deterministic,fixed-sign H16 paired on X and dY entering Wgrad; stored weight untransformed,ordinary BF16 linear,loss-only compiled CE,median steps 40-100,31882.611296196694,73.858555809296,82.06729076639749,114.89,bracketed_rht_async_metrics_lb4ga4,complete
localCTA/MXFP4 hybrid,32,4,4,512,42,selective-32,FSDP-32,default,CTA-local NVFP4 blocks 1-27; MXFP4 blocks 28-32,row-oriented G data SR only; column G deterministic,off,ordinary BF16 linear,loss-only compiled CE,median steps 40-100,33120.50,76.726221543014,85.2525,126.205,matched_custom_compiled_lb4ga4,complete
Pure v5,32,4,4,512,42,selective-32,FSDP-32,default,global NVFP4 v5,row-oriented G data SR only; column G deterministic,off,ordinary BF16 linear,loss-only compiled CE,median steps 40-100,32490.5,75.266777405030,83.63,155.63,separate_compiled_lb4ga4,complete
Operand hybrid + plain H16,32,4,4,512,42,selective-32,FSDP-32,default,MXFP4 Fprop and Wgrad; localCTA Dgrad,row-oriented G data SR on localCTA Dgrad; Wgrad column G deterministic,paired plain H16 on X and dY entering Wgrad (D=I); stored weight untransformed,ordinary BF16 linear,loss-only compiled CE,cross-node median steps 40-100; 12800 position-indexed batch records byte-identical to paired arm,34782.5,80.576374173696,89.53,154.92,matched_operand_hybrid_h16_h32_compiled_lb4ga4,complete
Operand hybrid + fixed H32,32,4,4,512,42,selective-32,FSDP-32,default,MXFP4 Fprop and Wgrad; localCTA Dgrad,row-oriented G data SR on localCTA Dgrad; Wgrad column G deterministic,fixed-sign H32 paired on X and dY entering Wgrad; low-16 0x2817 motif repeated across both thread halves; stored weight untransformed,ordinary BF16 linear,loss-only compiled CE,cross-node median steps 40-100; 12800 position-indexed batch records byte-identical to paired arm,35085.5,81.278297306726,90.31,150.89,matched_operand_hybrid_h16_h32_compiled_lb4ga4,complete
MXFP4-v4 + row-SR + fixed H32,32,4,4,512,42,selective-32,FSDP-32,default,MXFP4,row-oriented G data SR only; column G deterministic,fixed-sign H32 paired on X and dY entering Wgrad; stored weight untransformed,ordinary BF16 linear,loss-only compiled CE,cross-node median steps 40-100,37247.0,86.285580646810,95.875,151.02,same_platform_custom_compiled_lb4ga4,complete
